developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
01/18/0693AP,section-106,https://publicaccess.carlisle.gov.uk/online-applications/files/149FC6377D1443ABDC9905244A01E1F9/pdf/18_0693-S106_AGREEMENT_17052019-2252097.pdf,,2020-11-11,local-authority-eng:CMA,01/18/0693,2019-05-14,/developer-agreement/local-authority-eng/CMA/01-18-0693AP
01/18/1142AP,section-106,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_CARLI_DCAPR_74301&documentOrdering.orderBy=date&documentOrdering.orderDirection=ascending,,2020-11-11,local-authority-eng:CMA,01/18/1142,2019-11-13,/developer-agreement/local-authority-eng/CMA/01-18-1142AP
01/19/0247AP,section-106,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?keyVal=_CARLI_DCAPR_74827&activeTab=summary,,2020-11-11,local-authority-eng:CMA,01/19/0247,2019-07-25,/developer-agreement/local-authority-eng/CMA/01-19-0247AP
02/17/0246AP,section-106,https://planning.allerdale.gov.uk/portal/servlets/AttachmentShowServlet?ImageName=488066,,2020-11-11,local-authority-eng:CMA,02/17/0246,2019-07-17,/developer-agreement/local-authority-eng/CMA/02-17-0246AP
02/18/0372AP,section-106,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=189317,,2020-11-11,local-authority-eng:CMA,02/18/0372,2019-07-10,/developer-agreement/local-authority-eng/CMA/02-18-0372AP
03/17/0527AP,section-106,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0527&ApplicationNumber=17%2F0527&AddressPrefix=&Postcode=&Submit=Search,,2020-11-11,local-authority-eng:CMA,03/17/0527,2019-04-12,/developer-agreement/local-authority-eng/CMA/03-17-0527AP
03/18/9001AP,section-106,https://planning.cumbria.gov.uk/Planning/Display/3/18/9001,,2020-11-11,local-authority-eng:CMA,03/18/9001,2019-06-24,/developer-agreement/local-authority-eng/CMA/03-18-9001AP
03/18/9004/5AP,section-106,https://planning.cumbria.gov.uk/Planning/Display/3/18/9005,,2020-11-11,local-authority-eng:CMA,03/18/9004/5,2019-06-19,/developer-agreement/local-authority-eng/CMA/03-18-9004-5AP
03/19/0222AP,section-106,https://plansearch.eden.gov.uk/fastweb/detail.asp?AltRef=19/0222&ApplicationNumber=19%2F0222&AddressPrefix=&Postcode=&Submit=Search,,2020-11-11,local-authority-eng:CMA,03/19/0222,2020-03-04,/developer-agreement/local-authority-eng/CMA/03-19-0222AP
03/19/0426AP,section-106,https://plansearch.eden.gov.uk/fastweb/detail.asp?AltRef=19/0426&ApplicationNumber=19%2F0426&AddressPrefix=&Postcode=&Submit=Search,,2020-11-11,local-authority-eng:CMA,03/19/0426,2020-02-05,/developer-agreement/local-authority-eng/CMA/03-19-0426AP
04/18/2546AP,section-106,,,2020-11-11,local-authority-eng:CMA,04/18/2546,2020-01-03,/developer-agreement/local-authority-eng/CMA/04-18-2546AP
05/17/0841AP,section-106,https://kdc-pam.southlakeland.gov.uk/NorthgatePublicDocs/00245715.pdf,,2020-11-11,local-authority-eng:CMA,05/17/0841,2019-07-18,/developer-agreement/local-authority-eng/CMA/05-17-0841AP
05/17/9013AP,section-106,https://planning.cumbria.gov.uk/Planning/Display/5/17/9013,,2020-11-11,local-authority-eng:CMA,05/17/9013,2019-08-27,/developer-agreement/local-authority-eng/CMA/05-17-9013AP
06/18/0364AP,section-106,https://webapps.barrowbc.gov.uk/webapps/f?p=BARROWPLANNINGHUB:APPLICATIONSEARCH:15363919387352:,,2020-11-11,local-authority-eng:CMA,06/18/0364,2019-09-23,/developer-agreement/local-authority-eng/CMA/06-18-0364AP
06/18/0375AP,section-106,https://webapps.barrowbc.gov.uk/planning/applications/2018/PLAN_2018_0375_ADDITIONAL_12.pdf,,2020-11-11,local-authority-eng:CMA,06/18/0375,2020-02-06,/developer-agreement/local-authority-eng/CMA/06-18-0375AP
