developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
IFS672,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=P70IGLBJMXL00,,2020-12-31,local-authority-eng:ERY,18/01165/VAR,2019-10-30,/developer-agreement/local-authority-eng/ERY/IFS672
IFS663,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PIYMD5BJHU900,,2020-12-31,local-authority-eng:ERY,18/03898/PLF,2019-10-19,/developer-agreement/local-authority-eng/ERY/IFS663
IFS671,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PRT5BWBJN4E00,,2020-12-31,local-authority-eng:ERY,19/01679/PLF,2019-10-29,/developer-agreement/local-authority-eng/ERY/IFS671
IFS656,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PFK72DBJKCN00,,2020-12-31,local-authority-eng:ERY,18/03126/PLF,2019-10-14,/developer-agreement/local-authority-eng/ERY/IFS656
IFS697,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PVIHHCBJLNG00,,2020-12-31,local-authority-eng:ERY,19/02695/PLF,2019-11-23,/developer-agreement/local-authority-eng/ERY/IFS697
IFS670,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PBRDI2BJMEV00,,2020-12-31,local-authority-eng:ERY,18/02286/PLF,2019-10-28,/developer-agreement/local-authority-eng/ERY/IFS670
IFS661,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=NHG43NBJL1900,,2020-12-31,local-authority-eng:ERY,15/00017/STREM,2019-10-23,/developer-agreement/local-authority-eng/ERY/IFS661
IFS676,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PK8SAFBJJOU00,,2020-12-31,local-authority-eng:ERY,18/04165/STOUT,2019-10-31,/developer-agreement/local-authority-eng/ERY/IFS676
IFS681,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PCDPG8BJFLZ00,,2020-12-31,local-authority-eng:ERY,18/02411/PLF,2019-11-08,/developer-agreement/local-authority-eng/ERY/IFS681
IFS665,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=ONHB7HBJKH600,,2020-12-31,local-authority-eng:ERY,17/01079/STOUT,2019-10-24,/developer-agreement/local-authority-eng/ERY/IFS665
IFS699,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PWJHVZBJFLV00,,2020-12-31,local-authority-eng:ERY,19/02909/STPLF,2019-11-25,/developer-agreement/local-authority-eng/ERY/IFS699
IFS698,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PXZ2RUBJHRM00,,2020-12-31,local-authority-eng:ERY,19/03207/PLF,2019-11-24,/developer-agreement/local-authority-eng/ERY/IFS698
IFS655,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PGHA82BJ0R500,,2020-12-31,local-authority-eng:ERY,18/03343/STREM,2019-10-13,/developer-agreement/local-authority-eng/ERY/IFS655
IFS654,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PDI84ABJHDZ00,,2020-12-31,local-authority-eng:ERY,18/02678/REM,2019-10-12,/developer-agreement/local-authority-eng/ERY/IFS654
IFS675,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PINHEPBJHDU00,,2020-12-31,local-authority-eng:ERY,18/03823/STPLF,2019-11-04,/developer-agreement/local-authority-eng/ERY/IFS675
IFS660,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PBY66TBJMJU00,,2020-12-31,local-authority-eng:ERY,18/02308/STPLF,2019-10-22,/developer-agreement/local-authority-eng/ERY/IFS660
IFS691,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=Q06ZGSBJLKD00,,2020-12-31,local-authority-eng:ERY,19/03724/STPLF,2019-11-18,/developer-agreement/local-authority-eng/ERY/IFS691
IFS657,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=P2AJUKBJG4900,,2020-12-31,local-authority-eng:ERY,18/00073/STPLF,2019-10-15,/developer-agreement/local-authority-eng/ERY/IFS657
IFS679,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PGE17UBJ0GW00,,2020-12-31,local-authority-eng:ERY,18/03327/STPLF,2019-11-06,/developer-agreement/local-authority-eng/ERY/IFS679
IFS695,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PPUE5RBJKII00,,2020-12-31,local-authority-eng:ERY,19/01286/PLF,2019-11-20,/developer-agreement/local-authority-eng/ERY/IFS695
IFS667,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PFNMH5BJ0GJ00,,2020-12-31,local-authority-eng:ERY,18/03164/STPLF,2019-10-27,/developer-agreement/local-authority-eng/ERY/IFS667
