developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
20030860-da,Section 106 agreement,,2007-07-06,2020-10-26,local-authority-eng:NLN,PA/2003/0860,2005-07-04,/developer-agreement/local-authority-eng/NLN/20030860-da
20030860V-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2003/0860,2007-07-04,/developer-agreement/local-authority-eng/NLN/20030860V-da
20031575-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2003/1575,2006-03-15,/developer-agreement/local-authority-eng/NLN/20031575-da
20041114-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2004/1114,2005-12-09,/developer-agreement/local-authority-eng/NLN/20041114-da
20050803-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2005/0803,2005-11-14,/developer-agreement/local-authority-eng/NLN/20050803-da
20050879-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2005/0879,2006-02-21,/developer-agreement/local-authority-eng/NLN/20050879-da
20060782-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2006/0782,2007-01-30,/developer-agreement/local-authority-eng/NLN/20060782-da
20071970-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2007/1970,2008-03-03,/developer-agreement/local-authority-eng/NLN/20071970-da
20080338-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2008/0338,2011-08-23,/developer-agreement/local-authority-eng/NLN/20080338-da
20090334-da,Section 106 agreement,,,2020-10-27,local-authority-eng:NLN,PA/2009/0334,2011-08-08,/developer-agreement/local-authority-eng/NLN/20090334-da
20110802-da,Section 106 agreement,,,2020-10-27,local-authority-eng:NLN,PA/2011/0802,2012-04-30,/developer-agreement/local-authority-eng/NLN/20110802-da
20111110-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2011/1110,2012-03-26,/developer-agreement/local-authority-eng/NLN/20111110-da
20111464-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2011/1464,2012-07-30,/developer-agreement/local-authority-eng/NLN/20111464-da
20121288-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2012/1288,2013-02-28,/developer-agreement/local-authority-eng/NLN/20121288-da
20121303-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2012/1303,2014-08-19,/developer-agreement/local-authority-eng/NLN/20121303-da
20130643-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2013/0643,2014-05-07,/developer-agreement/local-authority-eng/NLN/20130643-da
20130734-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2013/0734,2014-11-04,/developer-agreement/local-authority-eng/NLN/20130734-da
20131578-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2013/1578,2014-06-05,/developer-agreement/local-authority-eng/NLN/20131578-da
20140196-da,Section 106 agreement,,2017-10-24,2020-10-26,local-authority-eng:NLN,PA/2014/0196,2014-06-13,/developer-agreement/local-authority-eng/NLN/20140196-da
20140249-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2014/0249,2014-06-13,/developer-agreement/local-authority-eng/NLN/20140249-da
20140881-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2014/0881,2015-06-03,/developer-agreement/local-authority-eng/NLN/20140881-da
20141061-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2014/1119,2015-03-10,/developer-agreement/local-authority-eng/NLN/20141061-da
20150111-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0111,2015-09-23,/developer-agreement/local-authority-eng/NLN/20150111-da
20150200-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0200,2016-06-08,/developer-agreement/local-authority-eng/NLN/20150200-da
20150228-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0228,2015-09-29,/developer-agreement/local-authority-eng/NLN/20150228-da
20150282-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0282,2015-06-29,/developer-agreement/local-authority-eng/NLN/20150282-da
20150481-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0481,2016-08-18,/developer-agreement/local-authority-eng/NLN/20150481-da
20150528-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0528,2016-05-05,/developer-agreement/local-authority-eng/NLN/20150528-da
20150537-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0537,2016-02-01,/developer-agreement/local-authority-eng/NLN/20150537-da
20150597-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0597,2016-03-23,/developer-agreement/local-authority-eng/NLN/20150597-da
20150856-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0856,2016-09-09,/developer-agreement/local-authority-eng/NLN/20150856-da
20150917-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0917,2017-05-23,/developer-agreement/local-authority-eng/NLN/20150917-da
20150922-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/0922,2015-11-16,/developer-agreement/local-authority-eng/NLN/20150922-da
20151139-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/1139,2016-06-09,/developer-agreement/local-authority-eng/NLN/20151139-da
20151187-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/1187,2016-06-09,/developer-agreement/local-authority-eng/NLN/20151187-da
20151195-da,Section 106 agreement,,2017-02-01,2020-10-26,local-authority-eng:NLN,PA/2015/1195,2016-03-07,/developer-agreement/local-authority-eng/NLN/20151195-da
20151308-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/1308,2016-02-26,/developer-agreement/local-authority-eng/NLN/20151308-da
20151390-da,Section 106 agreement,,2019-12-17,2020-10-26,local-authority-eng:NLN,PA/2015/1390,2017-06-02,/developer-agreement/local-authority-eng/NLN/20151390-da
20151531-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2015/1531,2016-10-14,/developer-agreement/local-authority-eng/NLN/20151531-da
20160337-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/0337,2017-09-22,/developer-agreement/local-authority-eng/NLN/20160337-da
20160805-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/0805,2016-12-23,/developer-agreement/local-authority-eng/NLN/20160805-da
20160848-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/0848,2016-12-08,/developer-agreement/local-authority-eng/NLN/20160848-da
20161531-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1531,2017-02-01,/developer-agreement/local-authority-eng/NLN/20161531-da
20161601-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1601,2017-01-05,/developer-agreement/local-authority-eng/NLN/20161601-da
20161611-da,Memorandum of understanding,,,2020-10-26,local-authority-eng:NLN,PA/2016/1611,2017-09-13,/developer-agreement/local-authority-eng/NLN/20161611-da
20161704-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1704,2017-04-03,/developer-agreement/local-authority-eng/NLN/20161704-da
20161710-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1710,2017-05-22,/developer-agreement/local-authority-eng/NLN/20161710-da
20161793-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1793,2017-06-07,/developer-agreement/local-authority-eng/NLN/20161793-da
20161816-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1531,2017-01-23,/developer-agreement/local-authority-eng/NLN/20161816-da
20161993-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/1993,2020-01-20,/developer-agreement/local-authority-eng/NLN/20161993-da
20162009-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2016/2009,2017-07-28,/developer-agreement/local-authority-eng/NLN/20162009-da
20170233-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0233,2017-05-22,/developer-agreement/local-authority-eng/NLN/20170233-da
20170389-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0389,2018-03-29,/developer-agreement/local-authority-eng/NLN/20170389-da
20170464-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0464,2018-05-02,/developer-agreement/local-authority-eng/NLN/20170464-da
20170511-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0511,2018-03-28,/developer-agreement/local-authority-eng/NLN/20170511-da
20170674-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0674,2019-09-04,/developer-agreement/local-authority-eng/NLN/20170674-da
20170767-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/0767,2017-10-24,/developer-agreement/local-authority-eng/NLN/20170767-da
20171199-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/1199,2018-08-13,/developer-agreement/local-authority-eng/NLN/20171199-da
20171234-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/1234,2018-08-20,/developer-agreement/local-authority-eng/NLN/20171234-da
20171513-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/1513,2018-12-20,/developer-agreement/local-authority-eng/NLN/20171513-da
20171541-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/1541,2018-02-23,/developer-agreement/local-authority-eng/NLN/20171541-da
20171975-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/1975,2020-01-20,/developer-agreement/local-authority-eng/NLN/20171975-da
20172006-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/2006,2018-03-26,/developer-agreement/local-authority-eng/NLN/20172006-da
20172008-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/2008,2018-03-26,/developer-agreement/local-authority-eng/NLN/20172008-da
20172080-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/2080,2018-09-19,/developer-agreement/local-authority-eng/NLN/20172080-da
20172095-da,Section 106 agreement,,,2020-10-26,local-authority-eng:NLN,PA/2017/2095,2019-04-11,/developer-agreement/local-authority-eng/NLN/20172095-da
