developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
SU/56/03-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1955019,,2020-10-26,local-authority-eng:ADU,SU/56/03,2004-06-10,/developer-agreement/local-authority-eng/ADU/SU-56-03-s106
AWDM/0205/12-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1976077,,2020-10-26,local-authority-eng:ADU,AWDM/0205/12,2013-01-21,/developer-agreement/local-authority-eng/ADU/AWDM-0205-12-s106
AWDM/1242/12-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1978857,,2020-10-26,local-authority-eng:ADU,AWDM/1242/12,2013-03-25,/developer-agreement/local-authority-eng/ADU/AWDM-1242-12-s106
AWDM/1483/12-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=1983923,,2020-11-02,local-authority-eng:ADU,AWDM/1483/12,2013-06-12,/developer-agreement/local-authority-eng/ADU/AWDM-1483-12-s106
AWDM/0935/13-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2073661,,2020-10-26,local-authority-eng:ADU,AWDM/0935/13,2015-06-12,/developer-agreement/local-authority-eng/ADU/AWDM-0935-13-s106
AWDM/0969/17-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2138780,,2020-10-26,local-authority-eng:ADU,AWDM/0969/17,2018-04-04,/developer-agreement/local-authority-eng/ADU/AWDM-0969-17-s106
AWDM/1093/17-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2173509,,2020-01-30,local-authority-eng:ADU,AWDM/1093/17,2019-12-20,/developer-agreement/local-authority-eng/ADU/AWDM-1093-17-s106
AWDM/0961/17-s106,section-106,http://docs.adur-worthing.gov.uk/NIM.WebSearch/Download.aspx?ID=2176471,,2020-02-13,local-authority-eng:ADU,AWDM/0961/17,2020-02-04,/developer-agreement/local-authority-eng/ADU/AWDM-0961-17-s106
