developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
20/01773/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QBGJ0FBHIK900,,2020-12-08,local-authority-eng:NTY,20/00696/FUL,2020-12-09,/developer-agreement/local-authority-eng/NTY/20-01773-S106
20/01576/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QBC62FBHIHC00,,2020-10-05,local-authority-eng:NTY,20/00681/FUL,2020-10-05,/developer-agreement/local-authority-eng/NTY/20-01576-S106
20/01258/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=Q5Y3XRBHFJA00,,2020-09-09,local-authority-eng:NTY,20/00252/FUL,2020-09-09,/developer-agreement/local-authority-eng/NTY/20-01258-S106
20/01259/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=Q70OSTBHG9800,,2020-09-07,local-authority-eng:NTY,20/00368/FUL,2020-09-07,/developer-agreement/local-authority-eng/NTY/20-01259-S106
20/01316/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QBCHEHBHIHO00,,2020-09-16,local-authority-eng:NTY,20/00683/OUT,2020-09-16,/developer-agreement/local-authority-eng/NTY/20-01316-S106
20/01066/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PYA4TFBH0MJ00,,2020-03-03,local-authority-eng:NTY,19/01272/FUL,2020-03-03,/developer-agreement/local-authority-eng/NTY/20-01066-S106
20/01140/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PYCB0WBHIHJ00,,2020-08-12,local-authority-eng:NTY,19/01280/FUL,2020-08-12,/developer-agreement/local-authority-eng/NTY/20-01140-S106
20/01146/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=Q4TC94BH0GZ00,,2020-08-20,local-authority-eng:NTY,20/00116/FUL,2020-08-20,/developer-agreement/local-authority-eng/NTY/20-01146-S106
20/00997/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PZH344BHJ7N00,,2020-06-17,local-authority-eng:NTY,19/01388/FUL,2020-06-17,/developer-agreement/local-authority-eng/NTY/20-00997-S106
20/00033/S106,section-106,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OH7ETDBHHYI00,,2017-04-27,local-authority-eng:NTY,16/01889/FUL,2017-04-27,/developer-agreement/local-authority-eng/NTY/20-00033-S106
