developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
0146/18/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/180146,2019-12-20,2019-12-20,local-authority-eng:SHA,0146/18/FUL,2019-12-20,/developer-agreement/local-authority-eng/SHA/0146-18-FUL-IFSDA
0548/20/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/200548,2020-02-12,2020-02-12,local-authority-eng:SHA,0548/20/FUL,2020-02-12,/developer-agreement/local-authority-eng/SHA/0548-20-FUL-IFSDA
1468/19/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/191468,2019-11-21,2019-11-21,local-authority-eng:SHA,1468/19/FUL,2019-11-21,/developer-agreement/local-authority-eng/SHA/1468-19-FUL-IFSDA
1554/17/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/171554,2020-03-11,2020-03-11,local-authority-eng:SHA,1554/17/OPA,2020-03-11,/developer-agreement/local-authority-eng/SHA/1554-17-OPA-IFSDA
1954/18/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181954,2019-06-19,2019-06-19,local-authority-eng:SHA,1954/18/OPA,2019-06-19,/developer-agreement/local-authority-eng/SHA/1954-18-OPA-IFSDA
2101/19/FUL-IFSDA,,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/192101,2020-02-26,2020-02-26,local-authority-eng:SHA,2101/19/FUL,2020-02-26,/developer-agreement/local-authority-eng/SHA/2101-19-FUL-IFSDA
2574/16/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/162627,2019-05-17,2019-05-17,local-authority-eng:SHA,2574/16/OPA,2019-05-17,/developer-agreement/local-authority-eng/SHA/2574-16-OPA-IFSDA
2873/18/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/182873,2019-04-01,2019-04-01,local-authority-eng:SHA,2873/18/FUL,2019-04-01,/developer-agreement/local-authority-eng/SHA/2873-18-FUL-IFSDA
3138/17/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173138,2019-08-28,2019-08-28,local-authority-eng:SHA,3138/17/OPA,2019-08-28,/developer-agreement/local-authority-eng/SHA/3138-17-OPA-IFSDA
3475/17/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173475,2019-05-02,2019-05-02,local-authority-eng:SHA,3475/17/OPA,2019-05-02,/developer-agreement/local-authority-eng/SHA/3475-17-OPA-IFSDA
3552/18/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183552,2020-03-16,2020-03-16,local-authority-eng:SHA,3552/18/FUL,2020-03-16,/developer-agreement/local-authority-eng/SHA/3552-18-FUL-IFSDA
3743/18/FUL-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183743,2019-11-21,2019-11-21,local-authority-eng:SHA,3743/18/FUL,2019-11-21,/developer-agreement/local-authority-eng/SHA/3743-18-FUL-IFSDA
4302/17/OPA-IFSDA,section-106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/174302,2019-12-17,2019-12-17,local-authority-eng:SHA,4302/17/OPA,2019-12-17,/developer-agreement/local-authority-eng/SHA/4302-17-OPA-IFSDA
