developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
19/00585/FULM-S106,S106,,,2020-12-01,local-authority-eng:NEA,19/00585/FULM,2019-06-20,/developer-agreement/local-authority-eng/NEA/19-00585-FULM-S106
14/00161/FULM-S106,S106,,,2020-12-01,local-authority-eng:NEA,14/00161/FULM,2019-11-29,/developer-agreement/local-authority-eng/NEA/14-00161-FULM-S106
18/01898/OUTM-S106,S106,,,2020-12-01,local-authority-eng:NEA,18/01898/OUTM,2020-01-30,/developer-agreement/local-authority-eng/NEA/18-01898-OUTM-S106
