developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
DC/19/00279/OUT-da,section-106,,,2020-10-21,local-authority-eng:GAT,DC/19/00279/OUT,2020-02-20,/developer-agreement/local-authority-eng/GAT/DC-19-00279-OUT-da
DC/18/03349/FUL-da,section-106,,,2020-10-21,local-authority-eng:GAT,DC/18/03349/FUL,2019-04-25,/developer-agreement/local-authority-eng/GAT/DC-18-03349-FUL-da
DC/18/00863/FUL-da,section-106,,,2020-10-21,local-authority-eng:GAT,DC/18/00863/FUL,2019-10-10,/developer-agreement/local-authority-eng/GAT/DC-18-00863-FUL-da
DC/18/00704/FUL-da,community-infrastructure-levy,,,2020-10-21,local-authority-eng:GAT,DC/18/00704/FUL,2019-01-10,/developer-agreement/local-authority-eng/GAT/DC-18-00704-FUL-da
