developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
07/18/0363/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/18/0363/F&viewdocs=true,,2020-11-23,local-authority-eng:BRX,07/18/0363/F,2019-07-09,/developer-agreement/local-authority-eng/BRX/07-18-0363-F-da
07/19/0164/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/19/0164/F&viewdocs=true,,2020-11-23,local-authority-eng:BRX,07/19/0164/F,2019-12-03,/developer-agreement/local-authority-eng/BRX/07-19-0164-F-da
07/16/0166/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0166/F&viewdocs=true,,2020-11-23,local-authority-eng:BRX,07/16/0166/F,2016-10-10,/developer-agreement/local-authority-eng/BRX/07-16-0166-F-da
07/13/0158/O-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0158/O&viewdocs=true,,2020-11-23,local-authority-eng:BRX,07/13/0158/O,2015-09-08,/developer-agreement/local-authority-eng/BRX/07-13-0158-O-da
07/14/0904/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0904/F&viewdocs=true,,2020-11-23,local-authority-eng:BRX,07/14/0904/F,2015-10-14,/developer-agreement/local-authority-eng/BRX/07-14-0904-F-da
07/14/0076/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0076/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/14/0076/F,2015-01-06,/developer-agreement/local-authority-eng/BRX/07-14-0076-F-da
07/09/0765/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/09/0765/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/09/0765/F,2010-05-11,/developer-agreement/local-authority-eng/BRX/07-09-0765-F-da
07/13/0389/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0389/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0389/F,2013-09-02,/developer-agreement/local-authority-eng/BRX/07-13-0389-F-da
07/12/0576/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/12/0576/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/12/0576/F,2012-09-05,/developer-agreement/local-authority-eng/BRX/07-12-0576-F-da
07/12/0524/O-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/12/0524/O&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/12/0524/O,2013-07-10,/developer-agreement/local-authority-eng/BRX/07-12-0524-O-da
07/15/0988/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0988/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/15/0988/F,2015-11-28,/developer-agreement/local-authority-eng/BRX/07-15-0988-F-da
07/14/0897/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0897/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/14/0897/F,2015-04-15,/developer-agreement/local-authority-eng/BRX/07-14-0897-F-da
07/16/0644/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0644/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/16/0644/F,2017-10-03,/developer-agreement/local-authority-eng/BRX/07-16-0644-F-da
07/13/0631/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0631/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0631/F,2014-02-10,/developer-agreement/local-authority-eng/BRX/07-13-0631-F-da
07/13/0383/O-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0383/O&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0383/O,2013-07-31,/developer-agreement/local-authority-eng/BRX/07-13-0383-O-da
07/15/0209/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0209/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/15/0209/F,2015-05-19,/developer-agreement/local-authority-eng/BRX/07-15-0209-F-da
07/13/0191/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0191/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0191/F,2013-06-07,/developer-agreement/local-authority-eng/BRX/07-13-0191-F-da
07/14/0797/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0797/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/14/0797/F,2014-11-28,/developer-agreement/local-authority-eng/BRX/07-14-0797-F-da
07/13/0541/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0541/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0541/F,2013-09-26,/developer-agreement/local-authority-eng/BRX/07-13-0541-F-da
07/12/0573/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/12/0573/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/12/0573/F,2012-10-11,/developer-agreement/local-authority-eng/BRX/07-12-0573-F-da
07/14/0629/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0629/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/14/0629/F,2014-12-11,/developer-agreement/local-authority-eng/BRX/07-14-0629-F-da
07/11/0779/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/11/0779/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/11/0779/F,2012-05-23,/developer-agreement/local-authority-eng/BRX/07-11-0779-F-da
07/14/1091/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/1091/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/14/1091/F,2014-12-30,/developer-agreement/local-authority-eng/BRX/07-14-1091-F-da
07/13/0994/F-da,section-106,https://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/13/0994/F&viewdocs=true,,2020-12-10,local-authority-eng:BRX,07/13/0994/F,2014-01-23,/developer-agreement/local-authority-eng/BRX/07-13-0994-F-da
