developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
B/18/0328-da,section-106,https://www.mybostonuk.com/planning-application-search,,2019-09-26,developer-agreement:Boston Borough Council,B/18/0328,2019-04-04,/developer-agreement/developer-agreement/Boston Borough Council/B-18-0328-da
B/16/0372-da,,https://www.mybostonuk.com/planning-application-search,2020-03-18,2020-07-16,developer-agreement:Boston Borough Council,B/16/0372,2019-05-21,/developer-agreement/developer-agreement/Boston Borough Council/B-16-0372-da
B/19/0002-da,,https://www.mybostonuk.com/planning-application-search,,2019-07-25,developer-agreement:Boston Borough Council,B/19/0002,2019-07-18,/developer-agreement/developer-agreement/Boston Borough Council/B-19-0002-da
B/16/0372/CD3-da,section-106,https://www.mybostonuk.com/planning-application-search,,2019-09-12,developer-agreement:Boston Borough Council,B/16/0372/CD3,2019-09-05,/developer-agreement/developer-agreement/Boston Borough Council/B-16-0372-CD3-da
B/19/0169-da,,https://www.mybostonuk.com/planning-application-search,,2020-10-19,developer-agreement:Boston Borough Council,B/19/0169,2019-09-27,/developer-agreement/developer-agreement/Boston Borough Council/B-19-0169-da
B/16/0137-da,,https://www.mybostonuk.com/planning-application-search,,2019-09-26,developer-agreement:Boston Borough Council,B/16/0137,2019-12-04,/developer-agreement/developer-agreement/Boston Borough Council/B-16-0137-da
B/18/0382-da2,,https://www.mybostonuk.com/planning-application-search,,2020-10-22,developer-agreement:Boston Borough Council,B/18/0382,2020-02-17,/developer-agreement/developer-agreement/Boston Borough Council/B-18-0382-da2
B/14/0165 & B/15/0264-da,,https://www.mybostonuk.com/planning-application-search,,2020-10-20,developer-agreement:Boston Borough Council,B/14/0165 & B/15/0264,2020-02-26,/developer-agreement/developer-agreement/Boston Borough Council/B-14-0165---B-15-0264-da
B/18/0435-da,,https://www.mybostonuk.com/planning-application-search,,2020-03-16,developer-agreement:Boston Borough Council,B/18/0435,2020-03-10,/developer-agreement/developer-agreement/Boston Borough Council/B-18-0435-da
B/12/0171 & B/16/0372-da6,,https://www.mybostonuk.com/planning-application-search,,2020-06-30,developer-agreement:Boston Borough Council,B/12/0171 & B/16/0372,2020-03-18,/developer-agreement/developer-agreement/Boston Borough Council/B-12-0171---B-16-0372-da6
B/19/0288/CD2-da,,https://www.mybostonuk.com/planning-application-search,,2020-12-02,developer-agreement:Boston Borough Council,B/19/0288/CD2,2020-02-21,/developer-agreement/developer-agreement/Boston Borough Council/B-19-0288-CD2-da
