developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
09/93881-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,09/93881,2009-05-05,/developer-agreement/national-park-authority/Q72617158/09-93881-da
08/93421-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,08/93421,2008-12-17,/developer-agreement/national-park-authority/Q72617158/08-93421-da
07/91625-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,07/91625,2007-09-17,/developer-agreement/national-park-authority/Q72617158/07-91625-da
10/94877-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,10/94877,2010-06-22,/developer-agreement/national-park-authority/Q72617158/10-94877-da
10/95600-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,10/95600,2011-07-11,/developer-agreement/national-park-authority/Q72617158/10-95600-da
08/92688-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,08/92688,2008-05-07,/developer-agreement/national-park-authority/Q72617158/08-92688-da
08/93051-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,08/93051,2008-09-16,/developer-agreement/national-park-authority/Q72617158/08-93051-da
05/85676-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,05/85676,2007-01-15,/developer-agreement/national-park-authority/Q72617158/05-85676-da
11/96826-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,11/96826,2012-03-22,/developer-agreement/national-park-authority/Q72617158/11-96826-da
13/98880-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,13/98880,2013-11-19,/developer-agreement/national-park-authority/Q72617158/13-98880-da
13/98701-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,13/98701,2013-11-11,/developer-agreement/national-park-authority/Q72617158/13-98701-da
12/97325-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,12/97325,2012-08-08,/developer-agreement/national-park-authority/Q72617158/12-97325-da
11/96907-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,11/96907,2012-03-15,/developer-agreement/national-park-authority/Q72617158/11-96907-da
14/00139-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,14/00139,2014-05-22,/developer-agreement/national-park-authority/Q72617158/14-00139-da
14/00049-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,14/00049,2014-04-03,/developer-agreement/national-park-authority/Q72617158/14-00049-da
10/95881-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,10/95881,2011-10-25,/developer-agreement/national-park-authority/Q72617158/10-95881-da
13/98485-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,13/98485,2013-09-09,/developer-agreement/national-park-authority/Q72617158/13-98485-da
14/00664-da,,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,14/00664,2014-10-21,/developer-agreement/national-park-authority/Q72617158/14-00664-da
15/00735-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00735,2016-02-05,/developer-agreement/national-park-authority/Q72617158/15-00735-da
15/00376-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00376,2015-07-15,/developer-agreement/national-park-authority/Q72617158/15-00376-da
13/99091-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,13/99091,2014-05-22,/developer-agreement/national-park-authority/Q72617158/13-99091-da
13/98609-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,13/98609,2014-08-04,/developer-agreement/national-park-authority/Q72617158/13-98609-da
14/00886-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,14/00886,2015-03-31,/developer-agreement/national-park-authority/Q72617158/14-00886-da
16/00162-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00162,2016-05-18,/developer-agreement/national-park-authority/Q72617158/16-00162-da
15/00652-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00652,2016-06-01,/developer-agreement/national-park-authority/Q72617158/15-00652-da
16/00411-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00411,2016-08-04,/developer-agreement/national-park-authority/Q72617158/16-00411-da
15/00805-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00805,2016-09-09,/developer-agreement/national-park-authority/Q72617158/15-00805-da
16/00541-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00541,2016-08-21,/developer-agreement/national-park-authority/Q72617158/16-00541-da
16/00512-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00512,2016-10-06,/developer-agreement/national-park-authority/Q72617158/16-00512-da
15/00552-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00552,2015-09-09,/developer-agreement/national-park-authority/Q72617158/15-00552-da
15/00154-da,,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00154,2015-05-13,/developer-agreement/national-park-authority/Q72617158/15-00154-da
16/00687-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00687,2016-11-28,/developer-agreement/national-park-authority/Q72617158/16-00687-da
16/00841-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00841,2016-12-15,/developer-agreement/national-park-authority/Q72617158/16-00841-da
15/00763-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00763,2017-02-14,/developer-agreement/national-park-authority/Q72617158/15-00763-da
14/00301-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,14/00301,2014-10-20,/developer-agreement/national-park-authority/Q72617158/14-00301-da
15/00493-da,,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00493,2015-08-13,/developer-agreement/national-park-authority/Q72617158/15-00493-da
16/00506-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00506,2017-03-13,/developer-agreement/national-park-authority/Q72617158/16-00506-da
16/00172-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00172,2016-05-20,/developer-agreement/national-park-authority/Q72617158/16-00172-da
16/00581-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00581,2017-03-08,/developer-agreement/national-park-authority/Q72617158/16-00581-da
17/00044-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00044,2017-04-12,/developer-agreement/national-park-authority/Q72617158/17-00044-da
16/00837-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00837,2017-01-23,/developer-agreement/national-park-authority/Q72617158/16-00837-da
17/00019-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00019,2017-07-04,/developer-agreement/national-park-authority/Q72617158/17-00019-da
16/00804-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00804,2017-02-20,/developer-agreement/national-park-authority/Q72617158/16-00804-da
17/00260-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00260,2017-07-11,/developer-agreement/national-park-authority/Q72617158/17-00260-da
16/00974-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00974,2017-01-13,/developer-agreement/national-park-authority/Q72617158/16-00974-da
16/00486-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00486,2017-05-22,/developer-agreement/national-park-authority/Q72617158/16-00486-da
16/00673-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00673,2017-11-02,/developer-agreement/national-park-authority/Q72617158/16-00673-da
16/00556-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00556,2016-08-21,/developer-agreement/national-park-authority/Q72617158/16-00556-da
16/00307-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00307,2016-10-07,/developer-agreement/national-park-authority/Q72617158/16-00307-da
17/00612-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00612,2018-03-26,/developer-agreement/national-park-authority/Q72617158/17-00612-da
15/00525-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00525,2018-04-25,/developer-agreement/national-park-authority/Q72617158/15-00525-da
18/00302-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00302,2018-06-28,/developer-agreement/national-park-authority/Q72617158/18-00302-da
16/00508-da,,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00508,2016-08-15,/developer-agreement/national-park-authority/Q72617158/16-00508-da
15/00676-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,15/00676,2016-09-27,/developer-agreement/national-park-authority/Q72617158/15-00676-da
17/00891-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00891,2018-10-08,/developer-agreement/national-park-authority/Q72617158/17-00891-da
17/00686-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,17/00686,2018-08-09,/developer-agreement/national-park-authority/Q72617158/17-00686-da
18/00579-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00579,2018-11-26,/developer-agreement/national-park-authority/Q72617158/18-00579-da
18/00985-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00985,2019-02-28,/developer-agreement/national-park-authority/Q72617158/18-00985-da
18/00493-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00493,2018-09-20,/developer-agreement/national-park-authority/Q72617158/18-00493-da
18/00736-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00736,2019-03-14,/developer-agreement/national-park-authority/Q72617158/18-00736-da
18/00569-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00569,2019-03-07,/developer-agreement/national-park-authority/Q72617158/18-00569-da
19/00279-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,19/00279,2019-05-17,/developer-agreement/national-park-authority/Q72617158/19-00279-da
18/00794-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,18/00794,2019-06-30,/developer-agreement/national-park-authority/Q72617158/18-00794-da
19/00228-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,19/00228,2019-09-11,/developer-agreement/national-park-authority/Q72617158/19-00228-da
16/00647-da,section-106,https://publicaccess.newforestnpa.gov.uk/online-applications/,,2020-12-18,national-park-authority:Q72617158,16/00647,2019-03-14,/developer-agreement/national-park-authority/Q72617158/16-00647-da
