developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
2356/19/OPA-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/192356,,2020-03-17,local-authority-eng:WDE,2356/19/OPA,2020-03-17,/developer-agreement/local-authority-eng/WDE/2356-19-OPA-IFSDA
1484/17/OPA-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/171484,,2019-12-13,local-authority-eng:WDE,1484/17/OPA,2019-12-13,/developer-agreement/local-authority-eng/WDE/1484-17-OPA-IFSDA
2353/18/OPA-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/182353,,2019-12-12,local-authority-eng:WDE,2353/18/OPA,2019-12-12,/developer-agreement/local-authority-eng/WDE/2353-18-OPA-IFSDA
0121/19/OPA-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/190121,,2019-11-06,local-authority-eng:WDE,0121/19/OPA,2019-11-06,/developer-agreement/local-authority-eng/WDE/0121-19-OPA-IFSDA
1794/18/FUL-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181794,,2019-09-17,local-authority-eng:WDE,1794/18/Ful,2019-09-17,/developer-agreement/local-authority-eng/WDE/1794-18-FUL-IFSDA
1635/18/OPA-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181635,,2019-07-26,local-authority-eng:WDE,1635/18/OPA,2019-07-26,/developer-agreement/local-authority-eng/WDE/1635-18-OPA-IFSDA
1549/18/FUL-IFSDA,S106,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181549,,2019-06-25,local-authority-eng:WDE,1549/18/FUL,2019-06-25,/developer-agreement/local-authority-eng/WDE/1549-18-FUL-IFSDA
