developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
19/00000/FUL/CIL (Unique ref no),,,,2021-02-11,local-authority-eng:EPS,PP-07496320,,/developer-agreement/local-authority-eng/EPS/19-00000-FUL-CIL--Unique-ref-no-
17/01853/FUL/CIL,,,,2019-09-18,local-authority-eng:EPS,PP-06825286,2019-09-03,/developer-agreement/local-authority-eng/EPS/17-01853-FUL-CIL
18/00743/FUL/CIL,,,,2019-09-18,local-authority-eng:EPS,PP-07211878,2019-09-12,/developer-agreement/local-authority-eng/EPS/18-00743-FUL-CIL
18/01383/FUL/CIL,,,,2019-09-25,local-authority-eng:EPS,PP-07496320,2019-09-12,/developer-agreement/local-authority-eng/EPS/18-01383-FUL-CIL
19/00303/FLH/CIL,,,,2019-09-25,local-authority-eng:EPS,PP-07732718,2019-09-18,/developer-agreement/local-authority-eng/EPS/19-00303-FLH-CIL
19/00681/FUL/CIL,,,,2019-09-25,local-authority-eng:EPS,PP-07877769,2019-10-07,/developer-agreement/local-authority-eng/EPS/19-00681-FUL-CIL
16/00712/FUL/CIL,,,,2019-10-15,local-authority-eng:EPS,PP-05405224,2019-10-14,/developer-agreement/local-authority-eng/EPS/16-00712-FUL-CIL
19/00622/FUL/CIL,,,,2019-10-23,local-authority-eng:EPS,PP-07879352,2019-10-16,/developer-agreement/local-authority-eng/EPS/19-00622-FUL-CIL
18/01018/REM/S106,,,,2019-10-23,local-authority-eng:EPS,PP-07344351,2019-10-04,/developer-agreement/local-authority-eng/EPS/18-01018-REM-S106
15/00845/FUL/s106,,,,2019-10-30,local-authority-eng:EPS,PP-04371491,2019-10-01,/developer-agreement/local-authority-eng/EPS/15-00845-FUL-s106
17/01586/FUL/S106,,,,2019-10-30,local-authority-eng:EPS,PP-06559683,2019-10-15,/developer-agreement/local-authority-eng/EPS/17-01586-FUL-S106
17/01760/FUL/S106,,,,2019-10-30,local-authority-eng:EPS,PP-06759551,2019-10-22,/developer-agreement/local-authority-eng/EPS/17-01760-FUL-S106
19/00538/RES/CIL,,,,2019-10-30,local-authority-eng:EPS,PP-07836913,2019-10-30,/developer-agreement/local-authority-eng/EPS/19-00538-RES-CIL
17/01419/FUL/CIL,,,,2019-11-05,local-authority-eng:EPS,PP-06561010,2019-10-30,/developer-agreement/local-authority-eng/EPS/17-01419-FUL-CIL
19/00768/FUL/CIL,,,,2019-11-05,local-authority-eng:EPS,PP-07947709,2019-11-05,/developer-agreement/local-authority-eng/EPS/19-00768-FUL-CIL
19/00079/FUL/CIL,,,,2019-11-13,local-authority-eng:EPS,19/00079/FUL,2019-11-13,/developer-agreement/local-authority-eng/EPS/19-00079-FUL-CIL
18/00486/FUL/CIL,,,,2019-11-25,local-authority-eng:EPS,PP-07091436,2019-11-25,/developer-agreement/local-authority-eng/EPS/18-00486-FUL-CIL
18/01264/FUL /CIL,,,,2020-02-19,local-authority-eng:EPS,PP-07429190,2020-01-13,/developer-agreement/local-authority-eng/EPS/18-01264-FUL--CIL
19/00577/FUL/CIL,,,,2020-02-19,local-authority-eng:EPS,PP-07860267,2020-02-10,/developer-agreement/local-authority-eng/EPS/19-00577-FUL-CIL
19/01382/REM/CIL,,,,2020-03-12,local-authority-eng:EPS,19/00494/FUL,2020-02-25,/developer-agreement/local-authority-eng/EPS/19-01382-REM-CIL
19/01079/FUL/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-08095983,2020-02-03,/developer-agreement/local-authority-eng/EPS/19-01079-FUL-CIL
18/01298/FUL/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-07446669,2020-02-26,/developer-agreement/local-authority-eng/EPS/18-01298-FUL-CIL
19/00696/COND/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-07913307,2020-02-27,/developer-agreement/local-authority-eng/EPS/19-00696-COND-CIL
19/00062/FUL/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-07553586,2020-02-25,/developer-agreement/local-authority-eng/EPS/19-00062-FUL-CIL
19/01592/REM/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-08337970,2020-02-27,/developer-agreement/local-authority-eng/EPS/19-01592-REM-CIL
18/01559/REM/CIL,,,,2020-03-12,local-authority-eng:EPS,PP-07575414,2020-03-11,/developer-agreement/local-authority-eng/EPS/18-01559-REM-CIL
18/01360/FUL /S106,,,,2020-03-12,local-authority-eng:EPS,PP-07405146,2020-01-10,/developer-agreement/local-authority-eng/EPS/18-01360-FUL--S106
17/01755/FUL/S106,,,,2020-03-12,local-authority-eng:EPS,PP-06588106,2020-01-17,/developer-agreement/local-authority-eng/EPS/17-01755-FUL-S106
18/01559/REM/S106,,,,2020-03-12,local-authority-eng:EPS,PP-07575414,2019-12-17,/developer-agreement/local-authority-eng/EPS/18-01559-REM-S106
