developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
06/15/0441/O-6.46,section-106,http://myplanning.great-yarmouth.gov.uk/Planning/lg/GFPlanningDocuments.page,,2020-05-07,local-authority-eng:NFK,06/15/0441/O,2020-02-25,/developer-agreement/local-authority-eng/NFK/06-15-0441-O-6-46
06/18/0149/O-6.96a,section-106,https://portal.great-yarmouth.gov.uk/planning/search-applications#VIEW?RefType=PLANNINGCASE&KeyText=06/18/0149/O,,2020-10-01,local-authority-eng:NFK,06/18/0149/O,2019-10-08,/developer-agreement/local-authority-eng/NFK/06-18-0149-O-6-96a
16/02231/OM-2.199,section-106,https://online.west-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OJ7GWUIV07800,,2020-10-01,local-authority-eng:NFK,16/02231/OM,2020-01-16,/developer-agreement/local-authority-eng/NFK/16-02231-OM-2-199
3PL/2015/0917/O3.147,section-106,http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0917_O%5Cswaffham+norwich+road+-+completed+Deed+Redacted+version.pdf&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2015/0917/O,2020-01-30,/developer-agreement/local-authority-eng/NFK/3PL-2015-0917-O3-147
3PL/2017/0996/O-3.76,section-106,http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0996_O%5C3PL_2017_0996_O-S106PUBLIC.pdf&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2017/0996/O,2020-03-27,/developer-agreement/local-authority-eng/NFK/3PL-2017-0996-O-3-76
3PL/2017/1354/F-3.186,section-106,http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_1354_F%5C3PL_2017_1354_F-S106PUBLIC.pdf&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2017/1354/F,2019-09-12,/developer-agreement/local-authority-eng/NFK/3PL-2017-1354-F-3-186
3PL/2017/1487/O-3.199,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2017/1487/O&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2017/1487/O,2019-08-29,/developer-agreement/local-authority-eng/NFK/3PL-2017-1487-O-3-199
3PL/2017/1574/O-3.204,section-106,http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_1574_O%5C3PL_2017_1574_O-S106PUBLIC.pdf&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2017/1574/O,2019-09-10,/developer-agreement/local-authority-eng/NFK/3PL-2017-1574-O-3-204
3PL/2018/0852/F-3.211,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2018/0852/F&module=pl,,2020-10-01,local-authority-eng:NFK,3PL/2018/0852/F,2019-06-26,/developer-agreement/local-authority-eng/NFK/3PL-2018-0852-F-3-211
3PL/2018/0952/O-3.143,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2018/0952/O&module=pl,,2020-10-01,local-authority-eng:NFK,3PL/2018/0952/O,2019-12-10,/developer-agreement/local-authority-eng/NFK/3PL-2018-0952-O-3-143
3PL/2018/1102/O-3.220,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2018/1102/O&module=pl,,2020-05-07,local-authority-eng:NFK,3PL/2018/1102/O,2019-07-09,/developer-agreement/local-authority-eng/NFK/3PL-2018-1102-O-3-220
3PL/2019/1056/O-231,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2019/1056/O&module=pl,,2020-10-01,local-authority-eng:NFK,3PL/2019/1056/O,2020-05-21,/developer-agreement/local-authority-eng/NFK/3PL-2019-1056-O-231
9/2/17/1106,section-106,https://online.west-norfolk.gov.uk/online-applications/files/383CFF5E0D51F55ADB082A17C52ABBF6/pdf/17_01106_OM-S106_AGREEMENT-4426279.pdf,,2020-08-18,local-authority-eng:NFK,17/01106/OM,2019-04-01,/developer-agreement/local-authority-eng/NFK/9-2-17-1106
9/2/17/1151,section-106,https://online.west-norfolk.gov.uk/online-applications/files/1BAB945FD0F50460734E933118D07512/pdf/17_01151_OM-S106_AGREEMENT_DATED_12_04_2019_-_PART_1-4466346.pdfhttps://online.west-norfolk.gov.uk/online-applications/files/C354C233D8222B995D27118C6709BBEE/pdf/17_01151_OM-S106_AGREEMENT_DATED_12_04_2019_-_PART_2-4466353.pdf,,2020-08-18,local-authority-eng:NFK,17/01151/OM,2019-04-12,/developer-agreement/local-authority-eng/NFK/9-2-17-1151
9/3/18/1021,section-106,http://planning.breckland.gov.uk/OcellaWeb/showDocuments?reference=3PL/2018/1021/F&module=pl,,2020-10-01,local-authority-eng:NFK,3PL/2018/1021/F,2019-06-26,/developer-agreement/local-authority-eng/NFK/9-3-18-1021
9/5/16/1066,section-106,https://secure.broadland.gov.uk/MVM.DMS/Planning%20Application/696000/696257/20161066%20S106%2017%2002%2020%20Land%20adj%20Hall%20Rd%20%20School%20Road.pdf,,2020-08-18,local-authority-eng:NFK,20161066,2020-02-17,/developer-agreement/local-authority-eng/NFK/9-5-16-1066
9/6/18/0173,section-106,https://portal.great-yarmouth.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=4755647,,2020-08-18,local-authority-eng:NFK,06/18/0173/F,2020-02-13,/developer-agreement/local-authority-eng/NFK/9-6-18-0173
