developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
0514/0037/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0514/0037,2014-10-13,/developer-agreement/local-authority-eng/ERE/0514-0037-DA
0512/0002/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0512/0002,2013-04-16,/developer-agreement/local-authority-eng/ERE/0512-0002-DA
1118/0006/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,1118/0006,2019-03-27,/developer-agreement/local-authority-eng/ERE/1118-0006-DA
0417/0027/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0417/0027,2018-05-25,/developer-agreement/local-authority-eng/ERE/0417-0027-DA
0117/0021/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0117/0021,2017-10-23,/developer-agreement/local-authority-eng/ERE/0117-0021-DA
0115/0018/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0115/0018,2016-03-21,/developer-agreement/local-authority-eng/ERE/0115-0018-DA
0516/0017/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0516/0017,2017-01-11,/developer-agreement/local-authority-eng/ERE/0516-0017-DA
0919/0062/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0919/0062,2017-03-14,/developer-agreement/local-authority-eng/ERE/0919-0062-DA
0402/0083/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0402/0083,2015-12-23,/developer-agreement/local-authority-eng/ERE/0402-0083-DA
0716/0012/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0716/0012,2015-12-10,/developer-agreement/local-authority-eng/ERE/0716-0012-DA
0216/0012/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0216/0012,2014-03-26,/developer-agreement/local-authority-eng/ERE/0216-0012-DA
1014/0006/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,1014/0006,2015-10-29,/developer-agreement/local-authority-eng/ERE/1014-0006-DA
0315/0034/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0315/0034,2015-10-27,/developer-agreement/local-authority-eng/ERE/0315-0034-DA
0515/0017/DA,section-106,https://register.civicacx.co.uk/Erewash/Planning/Search/BackToSearch?pcid=4f9f18d7-a64a-47c3-940c-826200e61ea4,,2020-10-29,local-authority-eng:ERE,0515/0017,2015-11-23,/developer-agreement/local-authority-eng/ERE/0515-0017-DA
