developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
P2018/2649/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00505973.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2649/FUL,2019-04-29,/developer-agreement/local-authority-eng/ISL/P2018-2649-FUL-da
P2019/2079/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00522341.pdf,,2020-06-17,local-authority-eng:ISL,P2019/2079/S73,2019-10-02,/developer-agreement/local-authority-eng/ISL/P2019-2079-S73-da
P2018/3180/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00515104.pdf,,2020-06-17,local-authority-eng:ISL,P2018/3180/FUL,2019-07-26,/developer-agreement/local-authority-eng/ISL/P2018-3180-FUL-da
P2018/4069/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00531195.pdf,,2020-06-17,local-authority-eng:ISL,P2018/4069/S73,2019-10-10,/developer-agreement/local-authority-eng/ISL/P2018-4069-S73-da
P2018/2520/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00514648.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2520/FUL,2019-07-10,/developer-agreement/local-authority-eng/ISL/P2018-2520-FUL-da
P2019/0401/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00523267.pdf,,2020-06-17,local-authority-eng:ISL,P2019/0401/FUL,2019-10-14,/developer-agreement/local-authority-eng/ISL/P2019-0401-FUL-da
P2018/1452/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00514674.pdf,,2020-06-17,local-authority-eng:ISL,P2018/1452/FUL,2019-06-14,/developer-agreement/local-authority-eng/ISL/P2018-1452-FUL-da
P2019/0442/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00524867.pdf,,2020-06-17,local-authority-eng:ISL,P2019/0442/FUL,2019-10-28,/developer-agreement/local-authority-eng/ISL/P2019-0442-FUL-da
P2018/0715/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00534039.pdf,,2020-06-17,local-authority-eng:ISL,P2018/0715/FUL,2020-01-27,/developer-agreement/local-authority-eng/ISL/P2018-0715-FUL-da
P2017/3103/FUL-da,section-278,http://planning.islington.gov.uk/NorthgatePublicDocs/00511230.pdf,,2020-06-17,local-authority-eng:ISL,P2017/3103/FUL,2019-06-12,/developer-agreement/local-authority-eng/ISL/P2017-3103-FUL-da
P2019/2415/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00528102.pdf,,2020-06-17,local-authority-eng:ISL,P2019/2415/FUL,2019-11-21,/developer-agreement/local-authority-eng/ISL/P2019-2415-FUL-da
P2016/2994/S73-da,section-278,http://planning.islington.gov.uk/NorthgatePublicDocs/00523369.pdf,,2020-06-17,local-authority-eng:ISL,P2016/2994/S73,2019-09-30,/developer-agreement/local-authority-eng/ISL/P2016-2994-S73-da
P2019/1611/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00534037.pdf,,2020-06-17,local-authority-eng:ISL,P2019/1611/FUL,2020-01-24,/developer-agreement/local-authority-eng/ISL/P2019-1611-FUL-da
P2018/3944/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00503121.pdf,,2020-06-17,local-authority-eng:ISL,P2018/3944/FUL,2019-04-01,/developer-agreement/local-authority-eng/ISL/P2018-3944-FUL-da
P2015/3989/FUL-da,section-278,http://planning.islington.gov.uk/NorthgatePublicDocs/00531286.pdf,,2020-06-17,local-authority-eng:ISL,P2015/3989/FUL,2019-12-23,/developer-agreement/local-authority-eng/ISL/P2015-3989-FUL-da
P2019/2361/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00530009.pdf,,2020-06-17,local-authority-eng:ISL,P2019/2361/S73,2019-12-10,/developer-agreement/local-authority-eng/ISL/P2019-2361-S73-da
P2018/2992/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00507892.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2992/FUL,2019-05-17,/developer-agreement/local-authority-eng/ISL/P2018-2992-FUL-da
P2018/4161/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00511236.pdf,,2020-06-17,local-authority-eng:ISL,P2018/4161/FUL,2019-06-17,/developer-agreement/local-authority-eng/ISL/P2018-4161-FUL-da
P2019/1923/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00539111.pdf,,2020-06-17,local-authority-eng:ISL,P2019/1923/FUL,2020-03-10,/developer-agreement/local-authority-eng/ISL/P2019-1923-FUL-da
P2018/2931/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00514653.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2931/FUL,2019-07-10,/developer-agreement/local-authority-eng/ISL/P2018-2931-FUL-da
P2019/0026/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00514053.pdf,,2020-06-17,local-authority-eng:ISL,P2019/0026/FUL,2019-07-15,/developer-agreement/local-authority-eng/ISL/P2019-0026-FUL-da
P2018/2329/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00532049.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2329/FUL,2020-01-05,/developer-agreement/local-authority-eng/ISL/P2018-2329-FUL-da
P2015/5260/FUL-da,section-278,http://planning.islington.gov.uk/NorthgatePublicDocs/00522500.pdf,,2020-06-17,local-authority-eng:ISL,P2015/5260/FUL,2019-10-02,/developer-agreement/local-authority-eng/ISL/P2015-5260-FUL-da
P2019/2687/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00537913.pdf,,2020-06-17,local-authority-eng:ISL,P2019/2687/S73,2020-03-04,/developer-agreement/local-authority-eng/ISL/P2019-2687-S73-da
P2018/3775/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00539135.pdf,,2020-06-17,local-authority-eng:ISL,P2018/3775/FUL,2020-03-02,/developer-agreement/local-authority-eng/ISL/P2018-3775-FUL-da
P2018/4247/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00517144.pdf,,2020-06-17,local-authority-eng:ISL,P2018/4247/S73,2019-08-14,/developer-agreement/local-authority-eng/ISL/P2018-4247-S73-da
APP/V5570/C/18/3199860-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00517798.pdf,,2020-06-17,local-authority-eng:ISL,APP/V5570/C/18/3199860,2019-07-04,/developer-agreement/local-authority-eng/ISL/APP-V5570-C-18-3199860-da
P2018/2073/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00503187.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2073/FUL,2019-04-01,/developer-agreement/local-authority-eng/ISL/P2018-2073-FUL-da
P2019/0525/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00507615.pdf,,2020-06-17,local-authority-eng:ISL,P2019/0525/S73,2019-05-10,/developer-agreement/local-authority-eng/ISL/P2019-0525-S73-da
P2019/0549/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00539440.pdf,,2020-06-17,local-authority-eng:ISL,P2019/0549/S73,2020-03-18,/developer-agreement/local-authority-eng/ISL/P2019-0549-S73-da
P2015/3050/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00533398.pdf,,2020-06-17,local-authority-eng:ISL,P2015/3050/FUL,2020-01-17,/developer-agreement/local-authority-eng/ISL/P2015-3050-FUL-da
P092492-da,section-278,http://planning.islington.gov.uk/NorthgatePublicDocs/00530291.pdf,,2020-06-17,local-authority-eng:ISL,P092492,2019-12-11,/developer-agreement/local-authority-eng/ISL/P092492-da
P2019/2174/S73-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00554926.pdf,,2020-06-17,local-authority-eng:ISL,P2019/2174/S73,2019-09-05,/developer-agreement/local-authority-eng/ISL/P2019-2174-S73-da
P2018/2269/FUL-da,section-106,http://planning.islington.gov.uk/NorthgatePublicDocs/00505112.pdf,,2020-06-17,local-authority-eng:ISL,P2018/2269/FUL,2019-04-17,/developer-agreement/local-authority-eng/ISL/P2018-2269-FUL-da
