developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
P/11/1305/2-da,section-106,,2019-03-18,2020-12-10,local-authority-eng:CHA,P/11/1305/2,2012-06-14,/developer-agreement/local-authority-eng/CHA/P-11-1305-2-da
P/13/1826/2-da,section-106,,2019-07-29,2020-12-10,local-authority-eng:CHA,P/13/1826/2,2017-02-27,/developer-agreement/local-authority-eng/CHA/P-13-1826-2-da
P/15/0047/2-da,section-106,,2020-05-15,2020-12-10,local-authority-eng:CHA,P/15/0047/2,2018-05-02,/developer-agreement/local-authority-eng/CHA/P-15-0047-2-da
P/17/2200/2-da,section-106,,2019-12-23,2020-12-10,local-authority-eng:CHA,P/17/2200/2,2018-10-26,/developer-agreement/local-authority-eng/CHA/P-17-2200-2-da
P/17/2604/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/17/2604/2,2019-12-20,/developer-agreement/local-authority-eng/CHA/P-17-2604-2-da
P/17/0388/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/17/0388/2,2019-01-14,/developer-agreement/local-authority-eng/CHA/P-17-0388-2-da
P/19/0862/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/19/0862/2,2019-12-04,/developer-agreement/local-authority-eng/CHA/P-19-0862-2-da
P/17/2391/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/17/2391/2,2019-11-29,/developer-agreement/local-authority-eng/CHA/P-17-2391-2-da
P/11/0149/2-da,section-106,,2019-03-15,2020-12-10,local-authority-eng:CHA,P/11/0149/2,2012-05-11,/developer-agreement/local-authority-eng/CHA/P-11-0149-2-da
P/18/0284/2-da,section-106,,2019-07-15,2020-12-10,local-authority-eng:CHA,P/18/0284/2,2019-05-15,/developer-agreement/local-authority-eng/CHA/P-18-0284-2-da
P/18/0659/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/0659/2,2019-08-12,/developer-agreement/local-authority-eng/CHA/P-18-0659-2-da
P/18/0662/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/0662/2,2019-06-11,/developer-agreement/local-authority-eng/CHA/P-18-0662-2-da
P/18/0709/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/0709/2,2019-07-03,/developer-agreement/local-authority-eng/CHA/P-18-0709-2-da
P/18/0888/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/0888/2,2019-06-11,/developer-agreement/local-authority-eng/CHA/P-18-0888-2-da
P/18/0985/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/0985/2,2019-12-03,/developer-agreement/local-authority-eng/CHA/P-18-0985-2-da
P/18/2058/2-da,section-106,,2020-11-02,2020-12-10,local-authority-eng:CHA,P/18/2058/2,2019-12-03,/developer-agreement/local-authority-eng/CHA/P-18-2058-2-da
P/18/2067/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/18/2067/2,2019-03-22,/developer-agreement/local-authority-eng/CHA/P-18-2067-2-da
P/18/2194/2-da,section-106,,2020-07-27,2020-12-10,local-authority-eng:CHA,P/18/2194/2,2019-05-18,/developer-agreement/local-authority-eng/CHA/P-18-2194-2-da
P/18/2345/2-da,section-106,,2019-12-20,2020-12-10,local-authority-eng:CHA,P/18/2345/2,2019-05-15,/developer-agreement/local-authority-eng/CHA/P-18-2345-2-da
P/19/0394/2-da,section-106,,,2020-12-10,local-authority-eng:CHA,P/19/0394/2,2019-12-06,/developer-agreement/local-authority-eng/CHA/P-19-0394-2-da
P/19/0687/2-da,section-106,,2019-08-28,2020-12-10,local-authority-eng:CHA,P/19/0687/2,2019-08-20,/developer-agreement/local-authority-eng/CHA/P-19-0687-2-da
