row-number,field,issue-type,value
1,organisation,default,local-authority-eng:SNR
1,entry-date,default,2021-02-11
2,organisation,default,local-authority-eng:SNR
2,entry-date,default,2021-02-11
3,organisation,default,local-authority-eng:SNR
3,entry-date,default,2021-02-11
4,organisation,default,local-authority-eng:SNR
4,entry-date,default,2021-02-11
5,organisation,default,local-authority-eng:SNR
5,entry-date,default,2021-02-11
6,organisation,default,local-authority-eng:SNR
6,entry-date,default,2021-02-11
7,organisation,default,local-authority-eng:SNR
7,entry-date,default,2021-02-11
8,organisation,default,local-authority-eng:SNR
8,entry-date,default,2021-02-11
9,organisation,default,local-authority-eng:SNR
9,entry-date,default,2021-02-11
10,organisation,default,local-authority-eng:SNR
10,entry-date,default,2021-02-11
11,organisation,default,local-authority-eng:SNR
11,entry-date,default,2021-02-11
12,organisation,default,local-authority-eng:SNR
12,entry-date,default,2021-02-11
13,organisation,default,local-authority-eng:SNR
13,entry-date,default,2021-02-11
14,organisation,default,local-authority-eng:SNR
14,entry-date,default,2021-02-11
15,organisation,default,local-authority-eng:SNR
15,entry-date,default,2021-02-11
16,organisation,default,local-authority-eng:SNR
16,entry-date,default,2021-02-11
17,organisation,default,local-authority-eng:SNR
17,entry-date,default,2021-02-11
18,organisation,default,local-authority-eng:SNR
18,entry-date,default,2021-02-11
19,organisation,default,local-authority-eng:SNR
19,entry-date,default,2021-02-11
20,organisation,default,local-authority-eng:SNR
20,entry-date,default,2021-02-11
21,organisation,default,local-authority-eng:SNR
21,entry-date,default,2021-02-11
22,organisation,default,local-authority-eng:SNR
22,entry-date,default,2021-02-11
23,organisation,default,local-authority-eng:SNR
23,entry-date,default,2021-02-11
24,organisation,default,local-authority-eng:SNR
24,entry-date,default,2021-02-11
25,organisation,default,local-authority-eng:SNR
25,entry-date,default,2021-02-11
26,organisation,default,local-authority-eng:SNR
26,entry-date,default,2021-02-11
